1.600000000000000311e-01,1.889448809878935265e-01,2.218145780861916494e-01,2.581583872355998621e-01,2.969221787112851230e-01,3.363068337607456604e-01,3.737443189191552717e-01,4.060827817329585310e-01,4.300309932098719257e-01,4.428074497228652318e-01,4.428074497228652318e-01,4.300309932098719257e-01,4.060827817329586420e-01,3.737443189191552717e-01,3.363068337607457714e-01,2.969221787112851230e-01,2.581583872355998066e-01,2.218145780861918159e-01,1.889448809878933599e-01,1.600000000000000311e-01
1.889448809878935265e-01,2.265182686746427532e-01,2.701903934078361269e-01,3.196631690489346034e-01,3.737443189191552162e-01,4.300309932098720922e-01,4.847489559397750725e-01,5.329442880788777259e-01,5.691811641438710989e-01,5.887015079939603712e-01,5.887015079939603712e-01,5.691811641438710989e-01,5.329442880788778369e-01,4.847489559397751835e-01,4.300309932098721477e-01,3.737443189191552162e-01,3.196631690489346589e-01,2.701903934078362934e-01,2.265182686746428642e-01,1.889448809878935265e-01
2.218145780861916494e-01,2.701903934078361269e-01,3.278266245147382074e-01,3.948519960218179747e-01,4.701296616459643696e-01,5.506158573361541464e-01,6.308798096531326172e-01,7.031825619401042005e-01,7.585170267780879660e-01,7.886663368478702418e-01,7.886663368478703529e-01,7.585170267780879660e-01,7.031825619401043115e-01,6.308798096531328392e-01,5.506158573361542574e-01,4.701296616459643696e-01,3.948519960218179192e-01,3.278266245147384295e-01,2.701903934078362379e-01,2.218145780861916494e-01
2.581583872355998621e-01,3.196631690489346034e-01,3.948519960218179747e-01,4.847489559397749614e-01,5.887015079939603712e-01,7.031825619401043115e-01,8.206495814763328234e-01,9.292033347534138787e-01,1.013995631106676010e+00,1.060811842059743437e+00,1.060811842059743437e+00,1.013995631106676010e+00,9.292033347534139898e-01,8.206495814763331564e-01,7.031825619401044225e-01,5.887015079939603712e-01,4.847489559397751280e-01,3.948519960218179747e-01,3.196631690489347144e-01,2.581583872355998621e-01
2.969221787112851230e-01,3.737443189191552162e-01,4.701296616459643696e-01,5.887015079939603712e-01,7.300640733867859167e-01,8.907411679268654181e-01,1.060811842059743215e+00,1.222497648970823914e+00,1.351733866471666268e+00,1.424175944266102167e+00,1.424175944266102167e+00,1.351733866471666268e+00,1.222497648970823914e+00,1.060811842059743659e+00,8.907411679268656401e-01,7.300640733867859167e-01,5.887015079939605933e-01,4.701296616459645916e-01,3.737443189191552162e-01,2.969221787112851230e-01
3.363068337607456604e-01,4.300309932098720922e-01,5.506158573361541464e-01,7.031825619401043115e-01,8.907411679268654181e-01,1.110946773935745258e+00,1.351733866471666268e+00,1.587687959333473398e+00,1.781065392013830184e+00,1.891279818594103990e+00,1.891279818594103990e+00,1.781065392013830184e+00,1.587687959333473176e+00,1.351733866471666712e+00,1.110946773935745480e+00,8.907411679268654181e-01,7.031825619401042005e-01,5.506158573361545905e-01,4.300309932098720922e-01,3.363068337607456604e-01
3.737443189191552717e-01,4.847489559397750725e-01,6.308798096531326172e-01,8.206495814763328234e-01,1.060811842059743215e+00,1.351733866471666268e+00,1.680211700924095997e+00,2.012050285431969066e+00,2.291066193759915937e+00,2.452858776309164490e+00,2.452858776309164490e+00,2.291066193759915937e+00,2.012050285431969510e+00,1.680211700924097329e+00,1.351733866471666712e+00,1.060811842059743215e+00,8.206495814763331564e-01,6.308798096531327282e-01,4.847489559397750725e-01,3.737443189191552717e-01
4.060827817329585310e-01,5.329442880788777259e-01,7.031825619401042005e-01,9.292033347534138787e-01,1.222497648970823914e+00,1.587687959333473398e+00,2.012050285431969066e+00,2.452858776309164490e+00,2.832434077189321719e+00,3.056147365582257081e+00,3.056147365582257081e+00,2.832434077189321719e+00,2.452858776309164490e+00,2.012050285431969954e+00,1.587687959333473398e+00,1.222497648970823914e+00,9.292033347534142118e-01,7.031825619401047556e-01,5.329442880788778369e-01,4.060827817329585310e-01
4.300309932098719257e-01,5.691811641438710989e-01,7.585170267780879660e-01,1.013995631106676010e+00,1.351733866471666268e+00,1.781065392013830184e+00,2.291066193759915937e+00,2.832434077189321719e+00,3.307450716646891831e+00,3.591074737705030273e+00,3.591074737705031161e+00,3.307450716646891831e+00,2.832434077189322164e+00,2.291066193759916825e+00,1.781065392013831072e+00,1.351733866471666268e+00,1.013995631106676010e+00,7.585170267780885212e-01,5.691811641438710989e-01,4.300309932098719257e-01
4.428074497228652318e-01,5.887015079939603712e-01,7.886663368478702418e-01,1.060811842059743437e+00,1.424175944266102167e+00,1.891279818594103990e+00,2.452858776309164490e+00,3.056147365582257081e+00,3.591074737705030273e+00,3.912809157440420016e+00,3.912809157440420904e+00,3.591074737705030273e+00,3.056147365582257081e+00,2.452858776309165378e+00,1.891279818594104656e+00,1.424175944266102167e+00,1.060811842059743881e+00,7.886663368478706859e-01,5.887015079939604822e-01,4.428074497228652318e-01
